,index,start_date_time,title,price,ticket_url,type,venue
0,0,2023-11-20T20:00:00+01:00,Glen Hansard,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32218&extraevents=32220&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=10008&withauthentication=no&signature=8d49a31c1650fec4867c2499ac4a5d74b24d6a916ae7530dffe0572a8c6ef4dc,Theater,carre
1,0,2023-11-21T20:00:00+01:00,Glen Hansard,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32219&extraevents=32221&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=aab9d9c5d7845c76e0c7cfa88e72ed34180c8308a82b0d32b8cd11a49780482e,Theater,carre
2,1,2023-08-11T21:00:00+02:00,Borrelarrangement,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32077&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=b5b1596adaab33b1cd743a0c46ad834d731a4f0cb8e3760328a06c8b584c73b6,Theater,carre
3,1,2023-08-12T16:00:00+02:00,Borrelarrangement,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32078&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=5593cfd1fae88afd0a62a67b5fbe4d7de02729eb74b5b4c79ce482de4cef9fbb,Theater,carre
4,1,2023-08-12T21:00:00+02:00,Borrelarrangement,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32079&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=72118c55e151753f6bb6975b5224aa4ed1e1e863bc48c1e6ab22b467046b2f73,Theater,carre
5,1,2023-08-13T15:00:00+02:00,Borrelarrangement,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32080&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=2f14170ad2936d4322a07a2ff5b2c093aa38135bd3b82976d39baf47ce19ebe8,Theater,carre
6,1,2023-08-16T21:00:00+02:00,Borrelarrangement,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32081&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=d36e003f819c1b89a5b9ebf25109eb7b8c732913f4995636253d66e3eb339c8c,Theater,carre
7,1,2023-08-17T21:00:00+02:00,Borrelarrangement,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32082&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=0010f0d40a2c9029b722ecec0c0386ba0e96b4f02f4db97ec083f13628c8ab7f,Theater,carre
8,1,2023-08-18T21:00:00+02:00,Borrelarrangement,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32083&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=be8e48fc6b9b10f5d613ad945bf234f3cd0e5919171ccc4eb3ba1dd218e6bfe1,Theater,carre
9,1,2023-08-19T16:00:00+02:00,Borrelarrangement,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32084&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=c97ae6356566db3e826ae324f216acf7edd573ad57c8cad7429b21cb68682bc4,Theater,carre
10,1,2023-08-19T21:00:00+02:00,Borrelarrangement,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32085&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=093b956344dbc066a0f557aa89bb23abc9a128d7197dd2950b716b589d094ec5,Theater,carre
11,1,2023-08-20T15:00:00+02:00,Borrelarrangement,50,https://apps.ticketmatic.com/widgets/carre/addtickets?accesskey=71a75cd3e13076d9b28b2706&edit=yes&event=32086&flow=basketwithcheckout&oncompletion=orderdetail&requiredfields=customertitle&reservemoretickets=yes&returnurl=https%3A%2F%2Fcarre.nl%2Fagenda&saleschannelid=2&skinid=1&withauthentication=no&signature=9192a53bffc6dd64e49cce16cef5e0e67f93c97dfd6b9c27f88ee123bc528500,Theater,carre
